Without_Project;Family (Formula);MeanScoreReal;MeanScoreArt;CountReal;CountArt
Chart;mbfl(muse);0.210382398039;0.0583151135579;205;2147
Chart;mbfl(ochiai);0.0651167196362;0.0202736872479;205;2147
Chart;sbfl(barinel);0.0443810831483;0.0473093486914;205;2147
Chart;sbfl(dstar2);0.0424263704435;0.0409049166666;205;2147
Chart;sbfl(ochiai);0.0431567063357;0.041504013939;205;2147
Chart;sbfl(opt2);0.0511038769026;0.040356370277;205;2147
Chart;sbfl(tarantula);0.045880228713;0.0482050008264;205;2147
Closure;mbfl(muse);0.229516643885;0.0542430806903;205;2125
Closure;mbfl(ochiai);0.0854185610412;0.0165921738336;205;2125
Closure;sbfl(barinel);0.0497400282871;0.0471296246268;205;2125
Closure;sbfl(dstar2);0.0486352627808;0.0407067806429;205;2125
Closure;sbfl(ochiai);0.0488580639075;0.0413120982745;205;2125
Closure;sbfl(opt2);0.0576756038146;0.0401300039973;205;2125
Closure;sbfl(tarantula);0.0523635467976;0.0480345493956;205;2125
Lang;mbfl(muse);0.209582032729;0.0457158611185;165;1591
Lang;mbfl(ochiai);0.0781033113145;0.0189817388439;165;1591
Lang;sbfl(barinel);0.0359537289216;0.0393341035433;165;1591
Lang;sbfl(dstar2);0.0357063963757;0.0346057661955;165;1591
Lang;sbfl(ochiai);0.0352495803563;0.0350336098277;165;1591
Lang;sbfl(opt2);0.0463172063988;0.0341367112761;165;1591
Lang;sbfl(tarantula);0.037350677127;0.040242151478;165;1591
Math;mbfl(muse);0.233917067261;0.0711724397818;130;1167
Math;mbfl(ochiai);0.075695935766;0.0217758444784;130;1167
Math;sbfl(barinel);0.0468237817103;0.0727622736955;130;1167
Math;sbfl(dstar2);0.0464109703512;0.0668123163134;130;1167
Math;sbfl(ochiai);0.0465635477933;0.0673586316196;130;1167
Math;sbfl(opt2);0.0506571751094;0.0664073803692;130;1167
Math;sbfl(tarantula);0.0509608685924;0.073172094492;130;1167
Time;mbfl(muse);0.213677805792;0.0611338753673;211;2062
Time;mbfl(ochiai);0.0796402548361;0.0214988948966;211;2062
Time;sbfl(barinel);0.048368731006;0.0525395556021;211;2062
Time;sbfl(dstar2);0.0472810753596;0.0459147194463;211;2062
Time;sbfl(ochiai);0.0474931699876;0.0465376548517;211;2062
Time;sbfl(opt2);0.0557764820483;0.0453454159345;211;2062
Time;sbfl(tarantula);0.0509176470945;0.0534721284118;211;2062
