Fold,isReal,Formula,,0
Chart,0,barinel,count,2147.0
Chart,0,barinel,mean,0.0473093486914
Chart,0,barinel,std,0.145993919679
Chart,0,barinel,min,3.13873195229e-05
Chart,0,barinel,25%,0.00193082699666
Chart,0,barinel,50%,0.00597907324365
Chart,0,barinel,75%,0.0160675381264
Chart,0,barinel,max,0.8497139309
Chart,0,dstar2,count,2147.0
Chart,0,dstar2,mean,0.0409049166666
Chart,0,dstar2,std,0.144186256711
Chart,0,dstar2,min,3.13873195229e-05
Chart,0,dstar2,25%,0.00122349102773
Chart,0,dstar2,50%,0.0041067761807
Chart,0,dstar2,75%,0.0128828509428
Chart,0,dstar2,max,0.8497139309
Chart,0,muse,count,2147.0
Chart,0,muse,mean,0.0583151135579
Chart,0,muse,std,0.132380812097
Chart,0,muse,min,3.13873195229e-05
Chart,0,muse,25%,0.000342231348392
Chart,0,muse,50%,0.00149700598802
Chart,0,muse,75%,0.0077519379845
Chart,0,muse,max,0.826274005411
Chart,0,ochiai_m,count,2147.0
Chart,0,ochiai_m,mean,0.0202736872479
Chart,0,ochiai_m,std,0.0811269895558
Chart,0,ochiai_m,min,3.13873195229e-05
Chart,0,ochiai_m,25%,0.000513347022587
Chart,0,ochiai_m,50%,0.00185082361651
Chart,0,ochiai_m,75%,0.00765401676276
Chart,0,ochiai_m,max,0.826274005411
Chart,0,ochiai_s,count,2147.0
Chart,0,ochiai_s,mean,0.041504013939
Chart,0,ochiai_s,std,0.144314207123
Chart,0,ochiai_s,min,3.13873195229e-05
Chart,0,ochiai_s,25%,0.00131348511384
Chart,0,ochiai_s,50%,0.00416666666667
Chart,0,ochiai_s,75%,0.0129460755664
Chart,0,ochiai_s,max,0.8497139309
Chart,0,opt2,count,2147.0
Chart,0,opt2,mean,0.040356370277
Chart,0,opt2,std,0.144092155546
Chart,0,opt2,min,3.13873195229e-05
Chart,0,opt2,25%,0.00117446081572
Chart,0,opt2,50%,0.00398406374502
Chart,0,opt2,75%,0.0122881355932
Chart,0,opt2,max,0.8497139309
Chart,0,tarantula,count,2147.0
Chart,0,tarantula,mean,0.0482050008264
Chart,0,tarantula,std,0.146906679113
Chart,0,tarantula,min,3.13873195229e-05
Chart,0,tarantula,25%,0.00193082699666
Chart,0,tarantula,50%,0.00597907324365
Chart,0,tarantula,75%,0.0160675381264
Chart,0,tarantula,max,0.8497139309
Chart,1,barinel,count,205.0
Chart,1,barinel,mean,0.0443810831483
Chart,1,barinel,std,0.132778972288
Chart,1,barinel,min,3.13873195229e-05
Chart,1,barinel,25%,0.00200114351058
Chart,1,barinel,50%,0.00639853747715
Chart,1,barinel,75%,0.027311615663
Chart,1,barinel,max,0.91910199342
Chart,1,dstar2,count,205.0
Chart,1,dstar2,mean,0.0424263704435
Chart,1,dstar2,std,0.132371293206
Chart,1,dstar2,min,3.13873195229e-05
Chart,1,dstar2,25%,0.00174148606811
Chart,1,dstar2,50%,0.00584112149533
Chart,1,dstar2,75%,0.0262077676034
Chart,1,dstar2,max,0.91910199342
Chart,1,muse,count,205.0
Chart,1,muse,mean,0.210382398039
Chart,1,muse,std,0.198152705119
Chart,1,muse,min,5.23176729099e-05
Chart,1,muse,25%,0.002331002331
Chart,1,muse,50%,0.228136882129
Chart,1,muse,75%,0.291925465839
Chart,1,muse,max,0.923306672066
Chart,1,ochiai_m,count,205.0
Chart,1,ochiai_m,mean,0.0651167196362
Chart,1,ochiai_m,std,0.177244980493
Chart,1,ochiai_m,min,4.70809792844e-05
Chart,1,ochiai_m,25%,0.00145208131655
Chart,1,ochiai_m,50%,0.00496508921645
Chart,1,ochiai_m,75%,0.0153743315508
Chart,1,ochiai_m,max,0.923306672066
Chart,1,ochiai_s,count,205.0
Chart,1,ochiai_s,mean,0.0431567063357
Chart,1,ochiai_s,std,0.132441700661
Chart,1,ochiai_s,min,3.13873195229e-05
Chart,1,ochiai_s,25%,0.00174148606811
Chart,1,ochiai_s,50%,0.00622865179827
Chart,1,ochiai_s,75%,0.0295654238898
Chart,1,ochiai_s,max,0.91910199342
Chart,1,opt2,count,205.0
Chart,1,opt2,mean,0.0511038769026
Chart,1,opt2,std,0.142520589226
Chart,1,opt2,min,3.13873195229e-05
Chart,1,opt2,25%,0.00224943764059
Chart,1,opt2,50%,0.0068312031732
Chart,1,opt2,75%,0.0344086021505
Chart,1,opt2,max,0.91910199342
Chart,1,tarantula,count,205.0
Chart,1,tarantula,mean,0.045880228713
Chart,1,tarantula,std,0.134129954607
Chart,1,tarantula,min,3.13873195229e-05
Chart,1,tarantula,25%,0.00200114351058
Chart,1,tarantula,50%,0.00639853747715
Chart,1,tarantula,75%,0.0277865487843
Chart,1,tarantula,max,0.91910199342
